,ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
71,269029437,20190415,98345.0,3562-02368-2,687-074808,19585188+4721481,,J195851.85+472148.2,2085638116106993408,,10298067,STAR,tmgaia2,299.716217344491,47.3633937785606,tmgaia2,-5.53014,0.0676324,-18.8372,0.0721421,gaia2,2.57156,0.0396802,gaia2,81.8777606815957,9.24420018327357,323.649809248676,65.3618773389224,9.453,0.026,8.351,0.002,,,,,,,,,,,6.458,0.03,5.86,0.055,5.773,0.027,AAA-111-111-000-0-0,,4.805,,5.652,0.216,5.884,0.039,5.862,0.067,8.11805,0.000311,7.49807,0.0061,rered,gaia2,5029.0,122.0,,,,,12.1743,,,,,,GIANT,,,384.69,5.9185,0.0883353,0.01761155,,,,,,0.0222247,0.0129984,panstarrs,,,,,,,,,,,5.829,6.008,bj2018,,,dered,8.66612,0.001515,7.45533,0.001368,1,,tycho2v3,tycho2b3,,1.14512331714074,1.11885599667437,299.716182192116,47.3633126739548,0.031293482343671,0.0382334731314768,0,0,365662356
72,123359974,20190415,92156.0,3540-00597-1,682-063229,18465905+4618537,,J184659.06+461853.5,2119115290229197568,,9630812,STAR,tmgaia2,281.746128451477,46.3149217013239,tmgaia2,5.84491,0.0661324,-15.6057,0.0744076,gaia2,4.43827,0.0325598,gaia2,75.6426283027247,19.9797127141552,292.905494409064,68.8221283241333,6.565,0.024,6.51806,0.023,,,,,,,,,,,6.276,0.021,6.255,0.017,6.262,0.023,AAA-111-111-000-0-0,,6.253,0.088,6.175,0.027,6.282,0.014,6.225,0.051,6.48648,0.000473501,6.44711,0.0062,rered,spect,8831.0,163.807,3.47026,0.0743819,,,4.5413,0.147618,2.221,0.327327,0.0237141,0.00445942,DWARF,113.004372,5.3294,223.871,1.644,0.0144224,0.003667895,213.0,0.0008845249,,,0.00127061189,0.00282607,0.00450972,panstarrs,0.263718,0.390936,0.143281,0.151955,0.00405581,0.00486304,0.0743491,0.0744147,5.50128,5.15752,1.632,1.656,bj2018,218.298,109.317,spect,6.54234,0.002102,6.42379,0.001383,1,,sirful,tycho2b3,,1.11524228106497,1.15396322740391,281.746164886687,46.3148545101209,0.0283995392381398,0.0385899261932079,1,0,217150583
73,121326612,20190415,94211.0,3121-00169-1,645-066838,19104680+3854197,,J191046.81+385419.5,2099631394432060416,50451749,3838362,STAR,tmgaia2,287.695059515834,38.90546269288,tmgaia2,1.01032,0.0451454,-13.8918,0.0496082,gaia2,3.08491,0.0253293,gaia2,70.1453557349435,13.1789492941253,298.792965650488,60.5880176341427,9.023,0.0,8.28,0.03,,,,,,,,,,,6.37,0.02,5.858,0.021,5.736,0.02,AAA-111-111-000-0-0,,5.685,0.157,5.679,0.049,5.695,0.015,5.648,0.04,7.97018,0.000247,7.3398,0.0061,rered,gaia2,4787.0,122.0,,,,,11.4543,,,,,,GIANT,,,321.175,2.633,0.0270874,0.00558636,,,,,,0.00622479,0.00494793,panstarrs,,,,,,,,,,,2.612,2.654,bj2018,,,dered,8.54119,0.001638,7.29769,0.002211,1,,hipvmag,apassdr9,,0.742393922114158,0.769324269416004,287.695065105763,38.905402880963,0.0203075931280021,0.0247173299136191,0,0,252528520
74,121988737,20190415,94808.0,3121-00387-1,647-066586,19172932+3914407,,J191729.33+391440.7,2101003000830222336,,4149233,STAR,tmgaia2,289.372219412284,39.2446127040873,tmgaia2,11.4682,0.0496871,9.80957,0.0555379,gaia2,2.27443,0.0320056,gaia2,71.0208782857651,12.1394778327579,301.532523309314,60.5805410113986,9.512,0.025,8.25,0.03,,,,,,,,,,,6.034,0.03,5.421,0.027,5.259,0.024,AAA-111-111-000-0-0,,5.203,0.185,5.129,0.07,5.207,0.015,5.139,0.033,7.84789,0.000332,7.134,0.0061,rered,gaia2,4502.0,122.0,,,,,19.8815,,,,,,GIANT,,,434.267,6.083,0.0449039,0.01333205,,,,,,0.0107336,0.0159305,panstarrs,,,,,,,,,,,5.999,6.167,bj2018,,,dered,8.52532,0.001585,7.09152,0.001534,1,,hipvmag,tycho2b3,,0.817981151103562,0.861484968970082,289.372283169578,39.2446549397536,0.0238723864000441,0.0333951559193979,0,0,266584054
75,122138956,20190415,94977.0,3125-00267-1,652-069767,19193784+4016016,,J191937.84+401601.7,2101161742821561728,,5092997,STAR,tmgaia2,289.907666205713,40.2671623647012,tmgaia2,-1.08576,0.0404647,-2.83464,0.0471648,gaia2,1.68107,0.0261099,gaia2,72.1465647761939,12.2043218087401,302.931466267421,61.449798140741,8.873,0.016,7.32,0.03,,,,,,,,,,,4.122,0.22,3.503,0.186,3.185,0.252,DCD-333-111-000-0-0,,3.54,0.359,3.331,0.307,3.511,0.008,3.405,0.021,6.69588,0.000387,5.8349,0.0078,rered,gaia2,4036.0,122.0,,,,,65.4546,,,,,,GIANT,,,584.966,9.0045,0.0640357,0.01025964,,,,,,0.00530748,0.0152118,panstarrs,,,,,,,,,,,8.868,9.141,bj2018,,,dered,7.59917,0.002147,5.80093,0.002276,1,,hipvmag,tycho2b3,,0.668314806711358,0.731464021773473,289.907660079158,40.2671501600013,0.0197135362800641,0.024476098334177,0,0,271345880
76,274128781,20190415,97936.0,3149-00172-1,675-079028,19541471+4450504,,J195414.69+445050.2,2079112926916521472,,8710324,STAR,tmgaia2,298.561329607866,44.8473222307378,tmgaia2,-4.89779,0.0633658,-5.50413,0.0524845,gaia2,1.50782,0.0276384,gaia2,79.2680058074119,8.67345004698643,319.373305353158,63.473251932775,10.007,0.03,8.24,0.03,,,,,,,,,,,5.236,0.023,4.65,0.198,4.208,0.017,ACA-131-111-000-0-0,,4.138,0.317,3.989,0.177,4.183,0.015,4.074,0.023,7.54623,0.000379,6.637,0.0125,rered,gaia2,4059.0,122.0,,,,,53.9011,,,,,,GIANT,,,651.035,11.8085,0.151148,0.0221475,,,,,,0.0216292,0.0226658,panstarrs,,,,,,,,,,,11.598,12.019,bj2018,,,dered,8.50684,0.001758,6.61886,0.001805,1,,hipvmag,tycho2b,,1.06284207387322,0.813961451950714,298.561299864497,44.847298532404,0.026665002614252,0.0271133162237895,0,0,355486652
77,299217871,20190415,94814.0,3554-00100-1,707-062471,19173317+5120475,,J191733.18+512047.8,2133256109274840448,,12456737,STAR,tmgaia2,289.388295396417,51.3465149737661,tmgaia2,-18.5019,0.0485631,22.7797,0.0513924,gaia2,2.79683,0.0262129,gaia2,82.4641854467227,17.0309445665033,312.044091916881,71.9639105137557,9.053,0.018,7.49,0.03,,,,,,,,,,,4.099,0.292,3.309,0.208,2.894,0.302,DCD-333-111-000-0-0,,1.734,,2.718,0.539,2.779,0.01,2.677,0.017,6.61392,0.000974,5.5789,0.0063,rered,gaia2,3653.0,122.0,,,,,54.6123,,,,,,GIANT,,,353.926,3.3085,0.0268549,0.00435787,,,,,,0.00388776,0.00482798,panstarrs,,,,,,,,,,,3.278,3.339,bj2018,,,dered,7.87046,0.005539,5.53633,0.003348,1,,hipvmag,tycho2b3,,0.835455805832818,0.797099315349671,289.388167859068,51.3466130531,0.0215558194593197,0.0287074410924027,0,0,266690143
78,158433360,20190415,,3132-00837-1,668-073161,19094967+4333081,,J190949.67+433308.2,2105998150870718080,52414490,7810954,STAR,tmgaia2,287.456989717069,43.5523233027525,tmgaia2,-0.0963838,0.053198,-15.1502,0.0595097,gaia2,1.30245,0.0295944,gaia2,74.4572027227639,15.2172019601734,301.112292479509,65.1171176235434,10.359,0.032,8.799,0.006,,,,,,,,,,,5.904,0.021,5.061,0.036,4.904,0.017,AEA-111-111-000-0-0,,4.878,0.212,4.775,0.099,4.874,0.015,4.763,0.03,8.17808,0.000557,7.3023,0.0063,rered,gaia2,3974.0,122.0,,,,,42.5901,,,,,,GIANT,,,751.477,16.847,0.0246543,0.003807845,,,,,,0.00201467,0.00560102,panstarrs,,,,,,,,,,,16.476,17.218,bj2018,,,dered,9.11727,0.002032,7.25955,0.001671,1,,tycho2v3,tycho2b3,,0.888273078610596,0.92285611412171,287.456989144474,43.5522580727242,0.0246356723734603,0.0290000291672154,0,0,250821288
79,63368325,20190415,95943.0,3143-00339-1,666-076666,19304117+4302158,,J193041.19+430215.6,2125866188548442240,,7447756,STAR,tmgaia2,292.671588215201,43.037706642142,tmgaia2,-0.402962,0.0466767,-8.16671,0.0588067,gaia2,1.28409,0.0264164,gaia2,75.6148277659013,11.5570438437614,309.048593879642,63.4358689864527,9.47,,7.76,0.03,,,,,,,,,,,4.983,0.292,4.04,0.258,3.607,0.412,DDD-333-111-000-0-0,,3.495,0.414,3.324,0.285,3.446,0.019,3.351,0.02,6.99175,0.000677,6.05522,0.0062,rered,gaia2,3890.0,122.0,,,,,81.8108,,,,,,GIANT,,,761.982,15.461,0.0416592,0.00893937,,,,,,0.010754,0.00712474,panstarrs,,,,,,,,,,,15.153,15.769,bj2018,,,dered,8.03682,0.0031,6.01639,0.002445,1,,hipvmag,tycho2,,0.777989427526776,0.911888939694184,292.671585841464,43.0376714799181,0.0213425439075894,0.0264984862163781,0,0,294721095
80,138099760,20190415,96179.0,3143-01052-1,657-074150,19332176+4119469,,J193321.75+411946.6,2077577115326313472,51757337,6047321,STAR,tmgaia2,293.340697742381,41.3296959974836,tmgaia2,-1.25313,0.0478536,-18.8004,0.0503776,gaia2,2.59706,0.0291417,gaia2,74.2903380729086,10.343716712402,308.810891436604,61.6607451785501,9.028,0.0,8.16,0.03,,,,,,,,,,,6.625,0.023,6.275,0.026,6.152,0.018,AAA-111-111-000-0-0,,6.032,0.098,6.022,0.037,6.095,0.014,5.973,0.049,7.94305,0.000369,7.41306,0.0062,rered,gaia2,5277.0,122.0,,,,,10.7067,,,,,,GIANT,,,380.881,4.2605,0.0235222,0.00619368,,,,,,0.00606446,0.0063229,panstarrs,,,,,,,,,,,4.214,4.307,bj2018,,,dered,8.39485,0.0017,7.37069,0.002161,1,,hipvmag,apassdr9,,0.793044560816798,0.781343435022738,293.340690557319,41.329615051317,0.0221709377850658,0.0276851618252616,0,0,302032535
